Date,ipo_name,issue_size_cr,qib_subscription,hni_subscription,rii_subscription,total_subscription,issue_price,listing_open,listing_close,listing_gains_pct,cmp,Current  Gains (%),Year,Month,Quarter,listing_gain_abs,performance_category,nifty_close,nifty_30d_return,Month_Name
2017-09-04,Apex Frozen,152.25,1.91,7.82,8.53,6.14,175.0,202.0,209.85,19.91,377.2,115.54,2017,9,3,34.849999999999994,Moderate,9912.85,0.4005752889105096,Sep
2017-09-18,Bharat Road Net,600.65,1.33,1.63,5.16,1.75,205.0,205.0,208.15,1.54,34.8,-83.02,2017,9,3,3.1500000000000057,Weak,10153.1,1.392599102225467,Sep
2017-09-18,Dixon Technolog,599.28,134.66,345.62,9.46,117.27,1766.0,2725.0,578.56,-67.24,4300.95,143.54,2017,9,3,-1187.44,Loss,10153.1,1.392599102225467,Sep
2017-09-21,Matrimony.com,501.07,1.88,0.41,18.16,4.44,985.0,985.0,901.2,-8.51,1154.6,17.22,2017,9,3,-83.79999999999995,Loss,10121.9,1.4365814672472554,Sep
2017-09-25,Capacite Infra,400.0,131.32,638.05,17.57,183.03,250.0,360.0,342.4,36.96,228.35,-8.66,2017,9,3,92.39999999999998,Strong,9872.6,0.5330821516763784,Sep
2017-09-27,ICICI Lombard ,5700.94,8.93,0.83,1.23,2.98,661.0,651.0,681.55,3.11,1475.6,123.24,2017,9,3,20.549999999999955,Weak,9735.75,-0.5962743066013854,Sep
2017-10-03,SBI Life Insura,8400.0,12.56,0.7,0.81,3.55,700.0,735.0,708.0,1.14,1099.7,57.1,2017,10,4,8.0,Weak,9859.5,0.2246528554292748,Oct
2017-10-05,Prataap Snacks ,481.94,76.89,101.15,7.62,46.97,938.0,1250.0,1178.3,25.62,740.0,-21.11,2017,10,4,240.29999999999995,Moderate,9888.7,1.2610656849844748,Oct
2017-10-16,Godrej Agrovet,1157.31,150.96,236.04,7.67,95.41,460.0,615.0,595.55,29.47,694.0,50.87,2017,10,4,135.54999999999995,Moderate,10230.85,2.5710819698428145,Oct
2017-10-23,IEX,1000.7,2.56,0.85,2.61,2.28,1650.0,1500.0,162.65,-90.14,430.8,-73.89,2017,10,4,-1487.35,Loss,10184.85,2.567498162116433,Oct
2017-10-25,General Insuran,11372.0,2.25,0.22,0.63,1.38,912.0,870.4,435.2,-52.28,180.15,-80.25,2017,10,4,-476.8,Loss,10295.35,2.891250793270084,Oct
2017-11-06,Nippon,1542.0,118.41,209.44,5.23,81.33,252.0,289.0,284.0,12.7,399.95,58.71,2017,11,4,32.0,Moderate,10451.8,3.25926950473725,Nov
2017-11-10,Mahindra Logist,829.36,15.61,2.07,6.11,7.9,429.0,425.0,429.15,0.03,748.2,74.41,2017,11,4,0.1499999999999772,Weak,10321.75,6.019053488431814,Nov
