Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
04-08-11,Inventure Grow,https://www.moneycontrol.com/ipo/inventure-grow_IGS.html,81.9,0.25,9.49,8.66,4.58,117.0,119.0,5.2,-95.56,3.53,-96.98
28-07-11,Bharatiya Glob,https://www.moneycontrol.com/ipo/bharatiya-glob_BGI01.html,55.1,0.0,1.94,5.06,2.06,82.0,84.0,30.95,-62.26,1.78,-97.83
13-07-11,Kridhan Infra,https://www.moneycontrol.com/ipo/kridhan-infra_RSI02.html,34.75,0.03,1.37,4.18,1.68,108.0,115.0,13.29,-87.69,5.29,-95.1
07-07-11,Birla Pacific,https://www.moneycontrol.com/ipo/birla-pacific_BPM.html,65.18,1.04,0.17,1.82,1.18,10.0,10.1,25.35,153.5,0.28,-97.2
07-07-11,Rushil Decor,https://www.moneycontrol.com/ipo/rushil-decor_RD02.html,40.64,0.23,1.35,6.57,2.62,72.0,81.25,104.49,45.12,290.10,302.92
22-06-11,Timbor Home,https://www.moneycontrol.com/ipo/timbor-home_TH02.html,23.25,0.65,3.22,14.22,5.78,63.0,72.0,91.2,44.76,2.21,-96.49
14-06-11,VMS Industries,https://www.moneycontrol.com/ipo/vms-industries_VI18.html,25.75,0.0,1.11,3.41,1.36,40.0,43.95,28.5,-28.75,16.21,-59.48
27-05-11,Dr Datson Labs,https://www.moneycontrol.com/ipo/dr-datson-labs_AL15.html,120.0,0.14,2.65,1.84,1.11,234.0,218.0,311.25,33.01,6.29,-97.31
23-05-11,Sanghvi Forging,https://www.moneycontrol.com/ipo/sanghvi-forging_SFE02.html,36.9,0.0,1.82,2.93,1.3,85.0,88.0,111.75,31.47,16.50,-80.59
13-05-11,Innoventive Ind,https://www.moneycontrol.com/ipo/innoventive-ind_II18.html,219.58,0.85,1.94,1.48,1.24,117.0,110.0,93.6,-20.0,4.20,-96.41
12-05-11,Servalakshmi,https://www.moneycontrol.com/ipo/servalakshmi_SP39.html,60.0,0.34,4.21,1.9,1.47,29.0,30.0,19.0,-34.48,1.33,-95.41
10-05-11,Future Consumer,https://www.moneycontrol.com/ipo/future-consumer_FVI.html,750.0,0.26,7.81,0.61,1.52,10.0,9.5,8.3,-17.0,8.24,-17.6
09-05-11,Paramount Print,https://www.moneycontrol.com/ipo/paramount-print_PP31.html,45.83,0.33,3.28,9.31,3.92,35.0,35.0,26.65,-23.86,0.82,-97.66
06-05-11,Muthoot Finance,https://www.moneycontrol.com/ipo/muthoot-finance_MF19.html,901.25,25.01,60.94,8.5,24.55,175.0,176.45,176.25,0.71,"1,555.50",788.86
08-04-11,Shilpi Cable,https://www.moneycontrol.com/ipo/shilpi-cable_SCT02.html,55.88,1.04,6.39,5.74,3.48,69.0,78.35,23.8,-65.51,1.10,-98.41
30-03-11,PTC India Fin,https://www.moneycontrol.com/ipo/ptc-india-fin_PIF02.html,438.76,2.85,0.22,1.18,1.7,28.0,28.0,24.9,-11.07,20.45,-26.96
24-03-11,Lovable Lingeri,https://www.moneycontrol.com/ipo/lovable-lingeri_LL05.html,93.28,21.87,99.87,20.84,35.21,205.0,261.5,249.2,21.56,125.25,-38.9
11-03-11,Sudar Ind,https://www.moneycontrol.com/ipo/sudar-ind_SG11.html,69.98,0.17,4.47,2.27,1.55,77.0,74.0,113.1,46.88,1.02,-98.68
11-03-11,Fineotex Chem,https://www.moneycontrol.com/ipo/fineotex-chem_FC06.html,30.32,0.0,0.22,4.38,1.57,70.0,80.0,14.09,-79.87,104.70,49.57
10-03-11,Acropetal Tech,https://www.moneycontrol.com/ipo/acropetal-tech_AT17.html,170.0,1.12,2.0,1.21,1.28,90.0,130.0,98.45,9.39,1.67,-98.14
10-02-11,Omkar Special,https://www.moneycontrol.com/ipo/omkar-special_OSC01.html,79.38,0.82,5.27,9.9,4.67,98.0,95.0,46.2,-52.86,18.34,-81.29
20-01-11,C Mahendra Expo,https://www.moneycontrol.com/ipo/c-mahendra-expo_ME14.html,165.0,1.02,3.92,4.82,2.78,110.0,111.0,55.43,-49.61,1.79,-98.37
30-12-10,Punjab & Sind,https://www.moneycontrol.com/ipo/punjab-and-sind_PSB.html,480.0,49.8,22.91,8.38,47.2,120.0,146.1,127.05,5.87,20.00,-83.33
